wave,species,line
4.052281,HI,(5-4)
7.459882,HI,(6-5)
4.653792,HI,(7-5)
3.740567,HI,(8-5)
3.297001,HI,(9-5)
3.039211,HI,(10-5)
12.37192,HI,(7-6)
7.502509,HI,(8-6)
5.908226,HI,(9-6)
5.128668,HI,(10-6)
4.672519,HI,(11-6)
4.376454,HI,(12-6)
19.06189,HI,(8-7)
11.30869,HI,(9-7)
8.760064,HI,(10-7)
7.508105,HI,(11-7)
6.771991,HI,(12-7)
6.291916,HI,(13-7)
5.956843,HI,(14-7)
5.711462,HI,(15-7)
27.80338,HI,(9-8)
16.209104,HI,(10-8)
12.387168,HI,(11-8)
10.503499,HI,(12-8)
9.3920177,HI,(13-8)
8.664502,HI,(14-8)
22.340457,HI,(11-9)
16.880628,HI,(12-9)
14.183084,HI,(13-9)
12.587077,HI,(14-9)
12.814,[Ne II], 
15.558,[Ne III], 
5.34,[Fe II], 
6.636,[Ni II], 
6.985,[Ar II], 
17.936,[Fe II], 
24.519,[Fe II], 
25.988,[Fe II], 
25.249,[S I], 
