species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_0_0|18_2_16,0_0_0|17_1_17,10.42552,2.03,5669.56445,4289.51123,37,35.0
H2O,0_0_0|17_3_15,0_0_0|16_0_16,11.03377,1.85,5132.48291,3828.50781,35,33.0
H2O,0_0_0|17_2_15,0_0_0|16_1_16,11.03475,1.85,5132.36621,3828.50684,105,99.0
H2O,0_0_0|16_3_14,0_0_0|15_0_15,11.72455,1.682,4620.21826,3393.06958,99,93.0
H2O,0_0_0|16_2_14,0_0_0|15_1_15,11.72672,1.682,4619.99121,3393.07007,33,31.0
H2O,0_0_0|20_12_8,0_0_0|19_11_9,13.55068,118.9,9978.53027,8916.75488,41,39.0
H2O,0_0_0|20_12_9,0_0_0|19_11_8,13.55091,118.9,9978.52832,8916.77246,123,117.0
H2O,0_0_0|19_14_6,0_0_0|18_13_5,13.55404,154.2,10121.33984,9059.82812,39,37.0
H2O,0_0_0|19_14_5,0_0_0|18_13_6,13.55404,154.1,10121.33984,9059.82812,117,111.0
H2O,0_0_0|19_13_6,0_0_0|18_12_7,13.73089,134.3,9708.09766,8660.25879,117,111.0
H2O,0_0_0|19_13_7,0_0_0|18_12_6,13.7309,134.4,9708.09766,8660.25879,39,37.0
H2O,0_0_0|18_16_2,0_0_0|17_15_3,13.76219,190.2,10297.83398,9252.37695,37,35.0
H2O,0_0_0|18_16_3,0_0_0|17_15_2,13.76219,190.2,10297.83398,9252.37695,111,105.0
H2O,0_0_0|18_15_4,0_0_0|17_14_3,13.8552,169.4,9882.71484,8844.27832,111,105.0
H2O,0_0_0|18_15_3,0_0_0|17_14_4,13.8552,169.5,9882.71875,8844.28125,37,35.0
H2O,0_0_0|19_12_7,0_0_0|18_11_8,13.95566,115.1,9305.15039,8274.1875,117,111.0
H2O,0_0_0|19_12_8,0_0_0|18_11_7,13.9557,115.1,9305.15332,8274.19434,39,37.0
H2O,0_0_0|18_14_4,0_0_0|17_13_5,13.98964,149.4,9468.67383,8440.21582,37,35.0
H2O,0_0_0|18_14_5,0_0_0|17_13_4,13.98964,149.4,9468.67383,8440.21582,111,105.0
H2O,0_0_0|18_13_5,0_0_0|17_12_6,14.16883,130.0,9059.82812,8044.375,37,35.0
H2O,0_0_0|18_13_6,0_0_0|17_12_5,14.16883,130.0,9059.82812,8044.375,111,105.0
H2O,0_0_0|17_17_1,0_0_0|16_16_0,14.21063,205.7,10062.6377,9050.17188,35,33.0
H2O,0_0_0|17_17_0,0_0_0|16_16_1,14.21063,205.6,10062.6377,9050.17188,105,99.0
H2O,0_0_0|19_11_8,0_0_0|18_10_9,14.23737,96.63,8916.77246,7906.2085,117,111.0
H2O,0_0_0|19_11_9,0_0_0|18_10_8,14.2388,96.57,8916.75488,7906.29346,39,37.0
H2O,0_0_0|17_16_2,0_0_0|16_15_1,14.24955,184.7,9660.12305,8650.42285,35,33.0
H2O,0_0_0|17_16_1,0_0_0|16_15_2,14.24955,184.8,9660.12012,8650.41895,105,99.0
H2O,0_0_0|17_15_2,0_0_0|16_14_3,14.33547,164.4,9252.37402,8248.72656,105,99.0
H2O,0_0_0|17_15_3,0_0_0|16_14_2,14.33547,164.4,9252.37402,8248.72656,35,33.0
H2O,0_0_0|18_12_6,0_0_0|17_11_7,14.39851,111.4,8660.25879,7661.00391,37,35.0
H2O,0_0_0|18_12_7,0_0_0|17_11_6,14.39857,111.4,8660.25879,7661.00781,111,105.0
