species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low,xmin,xmax,note
H2O,0_1_0|10_3_8,0_0_0|9_2_7,5.34529,5.813,4420.96729,1729.29675,63,57.0,5.343,5.3475,
H2O,0_1_0|7_2_6,0_0_0|6_1_5,5.63179,6.867,3335.86157,781.1203,15,13.0,5.629,5.6347,
H2O,0_1_0|3_3_0,0_0_0|2_2_1,5.64107,5.815,2744.63306,194.09331,21,15.0,5.6383,5.6433,
H2O,0_1_0|3_2_1,0_0_0|3_1_2,6.07545,6.863,2617.61743,249.43471,21,21.0,6.0726,6.078,
H2O,0_1_0|2_0_2,0_0_0|1_1_1,6.14316,3.778,2395.51221,53.432,5,3.0,6.1402,6.1455,
H2O,0_1_0|1_1_0,0_0_0|1_0_1,6.1854,10.94,2360.32202,34.23483,9,9.0,6.1823,6.1885,
H2O,0_1_0|1_0_1,0_0_0|1_1_0,6.34443,12.63,2328.74243,60.96342,9,9.0,6.3416,6.3474,
H2O,0_1_0|5_1_4,0_0_0|5_2_3,6.43355,11.52,2878.79541,642.4292,33,33.0,6.4308,6.4364,
H2O,0_1_0|2_1_2,0_0_0|3_0_3,6.49224,7.211,2412.91724,196.76958,15,21.0,6.4889,6.4953,
H2O,0_1_0|7_3_4,0_0_0|7_4_3,6.52896,9.451,3543.52783,1339.84241,45,45.0,6.526,6.5318,
H2O,0_1_0|9_0_9,0_0_0|9_1_8,6.97738,4.239,3614.61426,1552.55469,57,57.0,6.9743,6.9803,
H2O,0_1_0|3_2_2,0_0_0|4_3_1,6.99328,8.566,2609.6355,552.26367,7,9.0,6.9907,6.9954,
H2O,0_1_0|4_2_3,0_0_0|5_3_2,7.14692,5.629,2745.20972,732.06702,27,33.0,7.1444,7.1502,
H2O,0_1_0|7_2_5,0_0_0|8_3_6,7.21253,4.477,3442.40674,1447.57617,45,51.0,7.21,7.2155,
H2O,0_1_0|5_3_2,0_0_0|6_4_3,7.27924,8.014,3065.30591,1088.75793,33,39.0,7.2759,7.2819,
H2O,0_1_0|5_3_3,0_0_0|6_4_2,7.30659,7.835,3059.42603,1090.27661,11,13.0,7.3036,7.3092,
H2O,0_1_0|10_5_6,0_0_0|11_6_5,8.0696,5.949,4867.76416,3084.8042,63,69.0,8.0645,8.0741,v1-0
H2O,0_0_0|21_4_17,0_0_0|20_3_18,9.90602,10.81,8270.2627,6817.83643,129,123.0,9.9015,9.9101,
H2O,0_0_0|17_7_10,0_0_0|16_4_13,10.1132,1.558,6371.06738,4948.39502,105,99.0,10.108,10.118,
H2O,0_0_0|14_9_6,0_0_0|13_6_7,10.76435,0.7628,5302.479,3965.86646,87,81.0,10.758,10.77,
H2O,0_0_0|15_6_9,0_0_0|14_3_12,10.85307,0.6586,4996.70068,3671.01538,93,87.0,10.8482,10.8594,
H2O,0_0_0|12_6_7,0_0_0|11_1_10,11.00168,0.06643,3501.69531,2193.91577,75,69.0,10.9962,11.0079,
H2O,0_0_0|20_8_13,0_0_0|19_5_14,11.17771,14.51,8556.8457,7269.6626,123,117.0,11.172,11.1834,
H2O,0_0_0|20_7_14,0_0_0|19_4_15,11.26877,16.82,8257.4707,6980.68799,123,117.0,11.2625,11.2763,
H2O,0_0_0|17_3_14,0_0_0|16_2_15,11.64764,4.608,5483.08789,4247.83545,105,99.0,11.6414,11.6538,
H2O,0_0_0|13_5_8,0_0_0|12_2_11,11.70161,0.1994,3783.02563,2553.4707,81,75.0,11.695,11.707,
H2O,0_0_0|14_8_7,0_0_0|13_5_8,11.96812,1.268,4985.19971,3783.02563,87,81.0,11.9592,11.9768,
H2O,0_0_0|18_7_12,0_0_0|17_4_13,12.26544,12.28,6953.90771,5780.87451,111,105.0,12.2573,12.2719,
H2O,0_0_0|10_6_5,0_0_0|9_1_8,12.5645,0.03912,2697.66797,1552.55469,63,57.0,12.5594,12.569,
H2O,0_0_0|12_5_7,0_0_0|11_2_10,12.89409,0.2562,3310.17212,2194.33032,25,23.0,12.8871,12.9017,
H2O,0_0_0|12_7_5,0_0_0|11_4_8,12.98575,0.7422,3759.67456,2651.70801,25,23.0,12.979,12.9932,
H2O,0_0_0|16_7_10,0_0_0|15_4_11,13.13243,7.028,5763.84668,4668.25586,99,93.0,13.126,13.1386,
H2O,0_0_0|15_3_12,0_0_0|14_2_13,13.29319,3.783,4431.68994,3349.34888,93,87.0,13.2864,13.3005,
H2O,0_0_0|16_4_12,0_0_0|15_3_13,13.31231,6.833,5213.78906,4133.00195,33,31.0,13.3055,13.3183,
H2O,0_0_0|11_7_4,0_0_0|10_4_7,13.50312,0.4852,3340.70435,2275.1897,69,63.0,13.4969,13.5116,thin
H2O,0_0_0|14_3_11,0_0_0|13_2_12,14.34608,3.382,3941.42627,2938.52026,29,27.0,14.34,14.3546,
H2O,0_0_0|15_4_11,0_0_0|14_3_12,14.42757,6.089,4668.25586,3671.01538,93,87.0,14.4187,14.4362,
H2O,0_0_0|13_2_11,0_0_0|12_1_12,14.51301,1.232,3232.76587,2241.39502,81,75.0,14.505,14.5214,
H2O,0_0_0|14_5_10,0_0_0|13_2_11,14.89513,5.491,4198.70312,3232.76587,87,81.0,14.8888,14.9038,
H2O,0_0_0|13_3_10,0_0_0|12_2_11,15.62568,2.988,3474.2478,2553.4707,81,75.0,15.6148,15.6371,
H2O,0_0_0|18_8_10,0_0_0|17_7_11,15.83495,43.99,7252.67139,6344.06348,37,35.0,15.8273,15.845,
H2O,0_0_0|13_5_9,0_0_0|12_2_10,15.96622,4.676,3721.43921,2820.30103,27,25.0,15.9561,15.9736,
H2O,0_0_0|15_5_10,0_0_0|14_4_11,16.27136,9.232,4835.15381,3950.91455,93,87.0,16.2638,16.2813,v0-0
H2O,0_0_0|17_7_10,0_0_0|16_6_11,16.50525,28.79,6371.06738,5499.35938,105,99.0,16.4943,16.5161,
H2O,0_0_0|11_6_6,0_0_0|10_3_7,16.54402,1.37,3082.71973,2213.05396,23,21.0,16.535,16.5521,
H2O,0_0_0|16_9_7,0_0_0|15_8_8,16.59123,56.44,6369.79004,5502.59961,33,31.0,16.5819,16.5991,
H2O,0_0_0|12_5_8,0_0_0|11_2_9,17.10254,3.78,3273.75366,2432.48877,75,69.0,17.0917,17.1121,
H2O,0_0_0|16_8_8,0_0_0|15_7_9,17.14148,42.49,6053.74219,5214.38818,33,31.0,17.1313,17.1496,
H2O,0_1_0|13_4_9,0_1_0|12_3_10,17.19352,6.266,6005.50977,5168.69629,81,75.0,17.1856,17.1999,
H2O,0_0_0|16_8_9,0_0_0|15_7_8,17.32395,41.53,6051.97266,5221.45898,99,93.0,17.316,17.3338,hot
H2O,0_0_0|11_2_9,0_0_0|10_1_10,17.35766,0.9617,2432.48877,1603.5885,69,63.0,17.35,17.366,
