lev_up,lev_low,lam, tau,intens,a_stein,e_up,g_up,xmin,xmax
0_1_0|7_3_4,0_0_0|6_2_5,5.2357,1.264290779,19.63990649,1.27,3543.52783,45,5.2337,5.2378
0_1_0|10_3_8,0_0_0|9_2_7,5.34529,2.865739376,29.90243255,5.813,4420.96729,63,5.343,5.3475
0_1_0|8_2_7,0_0_0|7_1_6,5.58362,8.245221098,39.94823676,7.856,3589.98706,51,5.5807,5.5856
0_1_0|9_3_6,0_0_0|8_4_5,5.61179,1.177227043,17.81145543,2.009,4179.17236,57,5.6092,5.6135
0_1_0|7_2_6,0_0_0|6_1_5,5.63179,2.854188276,28.68120316,6.867,3335.86157,15,5.629,5.6347
0_1_0|3_3_0,0_0_0|2_2_1,5.64107,6.782004676,37.784583,5.815,2744.63306,21,5.6383,5.6433
0_1_0|7_4_4,0_0_0|7_3_5,5.70511,0.845020645,13.89274177,3.115,3696.94849,15,5.7031,5.7068
0_1_0|8_4_4,0_0_0|8_3_5,5.80878,0.987015487,15.30707524,4.529,3987.84351,17,5.8068,5.8115
0_2_0|6_0_6,0_1_0|5_1_5,5.96224,0.842070005,13.30061801,20.56,5179.67139,13,5.9596,5.9646
0_2_0|5_1_5,0_1_0|4_0_4,6.0059,0.793685685,12.62964117,18.77,5010.51172,11,6.0032,6.0082
0_1_0|6_3_4,0_0_0|5_4_1,6.01912,0.811832393,12.81898111,0.6975,3268.4873,39,6.0166,6.021
0_1_0|4_2_2,0_0_0|4_1_3,6.07016,3.721525754,29.57032729,7.676,2766.62573,9,6.0682,6.0726
0_1_0|3_2_1,0_0_0|3_1_2,6.07545,9.251700647,37.91694083,6.863,2617.61743,21,6.0726,6.078
0_2_0|5_1_4,0_1_0|5_0_5,6.08018,0.709830413,11.44556041,6.438,5129.89355,33,6.078,6.0825
0_1_0|2_0_2,0_0_0|1_1_1,6.14316,1.151502215,25.23490739,3.778,2395.51221,5,6.1402,6.1455
0_2_0|2_1_2,0_1_0|1_0_1,6.17528,1.32117653,27.40672077,13.86,4658.64062,15,6.1732,6.1779
0_1_0|1_1_0,0_0_0|1_0_1,6.1854,6.234650249,52.88354838,10.94,2360.32202,9,6.1823,6.1885
0_3_0|5_0_5,0_2_0|4_1_4,6.19356,0.434758151,11.71575105,25.99,7188.5376,33,6.1909,6.1958
0_2_0|3_0_3,0_1_0|2_1_2,6.20278,1.471600296,29.12011617,11.85,4732.48584,21,6.2008,6.2056
0_1_0|1_0_1,0_0_0|1_1_0,6.34443,7.51335457,53.42440021,12.63,2328.74243,9,6.3416,6.3474
0_1_0|2_0_2,0_0_0|2_1_1,6.37028,3.404043068,42.04327429,10.99,2395.51221,5,6.3673,6.3723
0_1_0|2_2_1,0_0_0|3_1_2,6.37373,0.948001892,20.8968541,1.14,2506.78882,15,6.3718,6.3764
0_1_0|6_4_3,0_0_0|7_3_4,6.42663,0.506617004,12.63871068,0.5998,3450.7356,39,6.4245,6.4284
0_1_0|5_1_4,0_0_0|5_2_3,6.43355,14.59475381,59.85689999,11.52,2878.79541,33,6.4308,6.4364
0_1_0|2_1_2,0_0_0|3_0_3,6.49224,6.6471405,50.07720739,7.211,2412.91724,15,6.4889,6.4953
0_1_0|7_3_4,0_0_0|7_4_3,6.52896,8.462304015,52.62896136,9.451,3543.52783,45,6.526,6.5318
0_1_0|9_0_9,0_0_0|9_1_8,6.97738,4.65396995,40.49410033,4.239,3614.61426,57,6.9743,6.9803
0_1_0|3_2_2,0_0_0|4_3_1,6.99328,3.159733019,35.33785029,8.566,2609.6355,7,6.9907,6.9954
0_1_0|4_2_3,0_0_0|5_3_2,7.14692,7.094295185,43.66478016,5.629,2745.20972,27,7.1444,7.1502
0_1_0|7_2_5,0_0_0|8_3_6,7.21253,4.712364297,38.46527643,4.477,3442.40674,45,7.21,7.2155
0_1_0|5_3_2,0_0_0|6_4_3,7.27924,9.0775345,44.84376687,8.014,3065.30591,33,7.2759,7.2819
0_1_0|5_3_3,0_0_0|6_4_2,7.30659,2.983620357,32.10097796,7.835,3059.42603,11,7.3036,7.3092
0_1_0|10_5_6,0_0_0|11_6_5,8.0696,2.299498159,23.98907083,5.949,4867.76416,63,8.0664,8.072
